Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
Redmi12,yacine,"","",unknown,07-May-2024,12:01:24 AM,60,false
Redmi12,yacine,"","",unknown,07-May-2024,12:16:24 AM,60,false
Redmi12,yacine,"","",unknown,07-May-2024,12:31:24 AM,60,false
Redmi12,yacine,"","",unknown,07-May-2024,12:46:24 AM,60,false
Redmi12,yacine,"","",unknown,07-May-2024,01:01:24 AM,60,false
Redmi12,yacine,"","",unknown,07-May-2024,01:16:24 AM,60,false
Redmi12,yacine,"","",unknown,07-May-2024,01:31:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,01:46:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,02:01:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,02:16:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,02:31:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,02:46:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,03:01:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,03:16:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,03:31:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,03:46:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,04:01:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,04:16:25 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,04:31:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,04:46:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,05:01:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,05:16:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,05:31:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,05:46:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,06:01:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,06:16:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,06:31:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,06:46:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,07:01:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,07:16:26 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,07:31:27 AM,58,false
Redmi12,yacine,"","",unknown,07-May-2024,07:46:27 AM,57,false
Redmi12,yacine,"","",unknown,07-May-2024,08:01:27 AM,57,false
Redmi12,yacine,"","",unknown,07-May-2024,08:16:27 AM,56,false
Redmi12,yacine,"","",unknown,07-May-2024,08:31:27 AM,55,false
Redmi12,yacine,"","",unknown,07-May-2024,08:46:27 AM,55,false
Redmi12,yacine,"","",unknown,07-May-2024,09:01:27 AM,55,false
Redmi12,yacine,"","",unknown,07-May-2024,09:16:27 AM,55,false
Redmi12,yacine,"","",unknown,07-May-2024,09:31:27 AM,54,false
Redmi12,yacine,"","",unknown,07-May-2024,09:46:28 AM,54,false
Redmi12,yacine,"","",unknown,07-May-2024,10:01:28 AM,54,false
Redmi12,yacine,"","",unknown,07-May-2024,10:16:28 AM,54,false
Redmi12,yacine,"","",unknown,07-May-2024,10:31:28 AM,54,false
Redmi12,yacine,"","",unknown,07-May-2024,10:46:28 AM,52,false
Redmi12,yacine,"","",unknown,07-May-2024,11:01:28 AM,52,false
Redmi12,yacine,"","",unknown,07-May-2024,11:16:28 AM,50,false
Redmi12,yacine,"","",unknown,07-May-2024,11:31:28 AM,49,false
Redmi12,yacine,"","",unknown,07-May-2024,11:46:28 AM,47,false
Redmi12,yacine,"","",unknown,07-May-2024,12:01:29 PM,46,false
Redmi12,yacine,"","",unknown,07-May-2024,12:16:29 PM,44,false
Redmi12,yacine,"","",unknown,07-May-2024,12:31:29 PM,43,false
Redmi12,yacine,"","",unknown,07-May-2024,12:46:29 PM,41,false
Redmi12,yacine,"","",unknown,07-May-2024,01:01:29 PM,40,false
Redmi12,yacine,"","",unknown,07-May-2024,01:16:29 PM,38,false
Redmi12,yacine,"","",unknown,07-May-2024,01:31:29 PM,37,false
Redmi12,yacine,"","",unknown,07-May-2024,01:46:29 PM,35,false
Redmi12,yacine,"","",unknown,07-May-2024,02:01:29 PM,34,false
Redmi12,yacine,"","",unknown,07-May-2024,02:16:29 PM,32,false
Redmi12,yacine,"","",unknown,07-May-2024,02:31:29 PM,32,false
Redmi12,yacine,"","",unknown,07-May-2024,02:46:30 PM,32,false
Redmi12,yacine,"","",unknown,07-May-2024,03:01:30 PM,32,false
Redmi12,yacine,"","",unknown,07-May-2024,03:16:30 PM,32,false
Redmi12,yacine,"","",unknown,07-May-2024,03:31:30 PM,32,false
Redmi12,yacine,"","",unknown,07-May-2024,03:46:30 PM,56,true
Redmi12,yacine,"","",unknown,07-May-2024,04:01:30 PM,82,true
Redmi12,yacine,"","",unknown,07-May-2024,04:16:30 PM,99,true
Redmi12,yacine,"","",unknown,07-May-2024,04:31:30 PM,100,true
Redmi12,yacine,"","",unknown,07-May-2024,04:46:30 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,05:01:31 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,05:16:31 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,05:31:31 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,05:46:31 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,06:01:31 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,06:08:08 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,06:23:09 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,06:38:09 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,06:53:09 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,06:56:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,07:11:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,07:26:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,07:41:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,07:56:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,08:11:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,08:26:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,08:41:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,08:56:13 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,09:11:14 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,09:26:14 PM,100,false
Redmi12,yacine,"","",unknown,07-May-2024,09:41:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,09:56:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,10:11:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,10:26:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,10:41:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,10:56:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,11:11:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,11:26:14 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,11:41:15 PM,99,false
Redmi12,yacine,"","",unknown,07-May-2024,11:56:15 PM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:11:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:26:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:41:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:56:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:11:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:26:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:41:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:56:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:11:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:26:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:41:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:56:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,03:11:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,03:26:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,03:41:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,03:56:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:11:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:26:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:41:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:56:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:11:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:26:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:41:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:56:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,06:11:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,06:26:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,06:41:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,06:56:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:11:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:26:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:41:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:56:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,08:11:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,08:26:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,08:41:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,08:56:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,09:11:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,09:26:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,09:41:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,09:56:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,10:11:18 AM,96,false
Redmi12,yacine,"","",unknown,08-May-2024,10:26:18 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,10:41:18 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,10:56:19 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,11:11:19 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,11:26:19 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,11:41:19 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,11:56:19 AM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,12:11:19 PM,95,false
Redmi12,yacine,"","",unknown,08-May-2024,12:26:19 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,12:41:19 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,12:56:19 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,01:11:19 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,01:26:19 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,01:41:19 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,01:56:20 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,02:11:20 PM,94,false
Redmi12,yacine,"","",unknown,08-May-2024,02:26:20 PM,93,false
Redmi12,yacine,"","",unknown,08-May-2024,02:41:20 PM,93,false
Redmi12,yacine,"","",unknown,08-May-2024,02:56:20 PM,93,false
Redmi12,yacine,"","",unknown,08-May-2024,03:11:20 PM,93,false
Redmi12,yacine,"","",unknown,08-May-2024,03:26:20 PM,93,false
Redmi12,yacine,"","",unknown,08-May-2024,03:41:20 PM,93,false
